C,S,Chiral_Centers,Mol_Weight,Formula
C00096,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,9,605.3411,C16H25N5O16P2
C00097,N[C@@H](CS)C(=O)O,1,121.1582,C3H7NO2S
C00098,*C(N)C(=O)NC(*)C(=O)O,0,0.0,C2H4NO2R(C2H2NOR)n
C00099,NCCC(=O)O,0,89.0932,C3H7NO2
C00100,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,823.5974,C24H40N7O17P3S
C00101,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,2,445.4292,C19H23N7O6
C00102,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl,0,268.0955,C12H7Cl2NO2
C00103,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,5,260.1358,C6H13O9P
C00104,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4,428.1859,C10H14N4O11P2
C00105,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,4,324.1813,C9H13N2O9P
C00106,O=c1cc[nH]c(=O)[nH]1,0,112.0868,C4H4N2O2
C00107,*C(N)C(=O)NC(*)C(=O)O,0,0.0,C4H6N2O3R2
C00108,Nc1ccccc1C(=O)O,0,137.136,C7H7NO2
C00109,CCC(=O)C(=O)O,0,102.0886,C4H6O3
C00110,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O,0,0.0,C20H37O4P(C5H8)n
C00111,O=C(CO)COP(=O)(O)O,0,170.0578,C3H7O6P
C00112,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,4,403.1764,C9H15N3O11P2
C00113,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2,0,330.206,C14H6N2O8
C00114,C[N+](C)(C)CCO,0,104.1708,C5H14NO
C00116,OCC(O)CO,0,92.0938,C3H8O3
C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,3,230.1098,C5H11O8P
C00118,O=C[C@H](O)COP(=O)(O)O,1,170.0578,C3H7O6P
C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,4,390.0696,C5H13O14P3
C00120,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,3,244.3106,C10H16N2O3S
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,3,150.1299,C5H10O5
C00122,O=C(O)/C=C/C(=O)O,0,116.0722,C4H4O4
C00123,CC(C)C[C@H](N)C(=O)O,1,131.1729,C6H13NO2
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,4,180.1559,C6H12O6
C00125,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe+]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O,2,0.0,C42H44FeN8O8S2R4
C00126,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O,2,0.0,C42H44FeN8O8S2R4
C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,4,612.6311,C20H32N6O12S2
C00128,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,10,614.4511,C20H31N4O16P
C00129,C=C(C)CCOP(=O)(O)OP(=O)(O)O,0,246.0921,C5H12O7P2
C00130,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,4,348.206,C10H13N4O8P
C00131,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,3,491.1816,C10H16N5O12P3
C00132,CO,0,32.0419,CH4O
C00133,C[C@@H](N)C(=O)O,1,89.0932,C3H7NO2
C00134,NCCCCN,0,88.1515,C4H12N2
C00135,N[C@@H](Cc1c[nH]cn1)C(=O)O,1,155.1546,C6H9N3O2
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,837.624,C25H42N7O17P3S
C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,6,180.1559,C6H12O6
C00140,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,4,221.2078,C8H15NO6
C00141,CC(C)C(=O)C(=O)O,0,116.1152,C5H8O3
